Color	Type	SKU	Description	Base Price
CSW	FILLERS & MOLDINGS	CSW-TUK	Touch Up Kit	9.8
CSW	FILLERS & MOLDINGS	CSW-SD	Sample Door	10
MW	BASE CABINETS	MW-B09FHD	"Full Height Base Cabinet 9""W × 34 1/2""H × 24""D"	52.67
MW	BASE CABINETS	MW-B12	"Base Cabinet 12""W × 34 1/2""H × 24""D"	75.46
MW	BASE CABINETS	MW-B15	"Base Cabinet 15""W × 34 1/2""H × 24""D"	85.32
MW	BASE CABINETS	MW-B18	"Base Cabinet 18""W × 34 1/2""H × 24""D"	93.02
MW	BASE CABINETS	MW-B21	"Base Cabinet 21""W × 34 1/2""H × 24""D"	101.02
MW	BASE CABINETS	MW-B24	"Base Cabinet 24""W × 34 1/2""H × 24""D"	112.42
MW	BASE CABINETS	MW-B27	"Base Cabinet 27""W × 34 1/2""H × 24""D"	121.66
MW	BASE CABINETS	MW-B30	"Base Cabinet 30""W × 34 1/2""H × 24""D"	133.67
MW	BASE CABINETS	MW-B33	"Base Cabinet 33""W × 34 1/2""H × 24""D"	152.46
MW	BASE CABINETS	MW-B36	"Base Cabinet 36""W × 34 1/2""H × 24""D"	160.16
MW	BASE CABINETS	MW-B42	"Base Cabinet 42""W × 34 1/2""H × 24""D"	185.42
MW	DRAWER BASE CABINETS	MW-DB12	"3 Drawer Base Cabinet 12""W × 34 1/2""H × 24""D"	129.02
MW	DRAWER BASE CABINETS	MW-DB15	"3 Drawer Base Cabinet 15""W × 34 1/2""H × 24""D"	141.59
MW	DRAWER BASE CABINETS	MW-DB18	"3 Drawer Base Cabinet 18""W × 34 1/2""H × 24""D"	151.21
MW	DRAWER BASE CABINETS	MW-DB21	"3 Drawer Base Cabinet 21""W × 34 1/2""H × 24""D"	160.45
MW	DRAWER BASE CABINETS	MW-DB24	"3 Drawer Base Cabinet 24""W × 34 1/2""H × 24""D"	170.06
MW	DRAWER BASE CABINETS	MW-DB30	"3 Drawer Base Cabinet 30""W × 34 1/2""H × 24""D"	191.87
MW	DRAWER BASE CABINETS	MW-DB36	"3 Drawer Base Cabinet 36""W × 34 1/2""H × 24""D"	218.12
MW	CORNER BASE CABINETS	MW-LS33	"Lazy Susan Base Cabinet 33""W × 34 1/2""H × 24""D "	191.27
MW	CORNER BASE CABINETS	MW-LS36	"Lazy Susan Base Cabinet 36""W × 34 1/2""H × 24""D "	206.67
MW	CORNER BASE CABINETS	MW-BLB36	"Blind Base Corner Cabinet, Pull to 39"" 36""W × 34 1/2""H × 24""D"	138.6
MW	CORNER BASE CABINETS	MW-BLB42	"Blind Base Corner Cabinet, Pull to 45"" 42""W × 34 1/2""H × 24""D"	163.86
MW	SINK BASE CABINETS	MW-SB30	"Sink Base Cabinet 30""W × 34 1/2""H × 24""D"	123.2
MW	SINK BASE CABINETS	MW-SB33	"Sink Base Cabinet 33""W × 34 1/2""H × 24""D"	134.57
MW	SINK BASE CABINETS	MW-SB36	"Sink Base Cabinet 36""W × 34 1/2""H × 24""D"	136.42
MW	SINK BASE CABINETS	MW-APSB36	"Apron Sink Base Cabinet 36""W × 34 1/2""H × 24""D"	163.7
MW	SPICE PULL OUT BASE CABINETS	MW-BSP06	"Base spice rack pull out cabinet 6""W × 34 1/2""H × 24""D"	104.62
